2019-01-28 17:05:55,162: [DEBUG] 123
2019-01-28 17:06:54,637: [DEBUG] 123
2019-01-28 17:08:12,429: [DEBUG] 寫入ad帳號
2019-01-28 17:08:15,418: [DEBUG] 123
2019-01-28 17:08:21,261: [DEBUG] 寫入ad帳號
2019-01-28 17:08:21,285: [DEBUG] 寫入ad帳號
2019-01-28 17:08:22,829: [DEBUG] 寫入ad帳號
2019-01-28 17:08:22,830: [DEBUG] 寫入ad帳號
2019-01-28 17:08:23,400: [DEBUG] 寫入ad帳號
2019-01-28 19:14:50,881: [DEBUG] 寫入ad帳號
2019-01-28 19:14:54,285: [DEBUG] 123
2019-01-28 19:15:02,846: [DEBUG] 寫入ad帳號
2019-01-28 19:15:04,962: [DEBUG] 寫入ad帳號
2019-01-28 19:15:04,966: [DEBUG] 寫入ad帳號
2019-01-28 19:15:04,966: [DEBUG] 寫入ad帳號
2019-01-28 19:15:04,967: [DEBUG] 寫入ad帳號
2019-01-28 19:15:04,967: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,383: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,505: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,563: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,700: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,756: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,848: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,880: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,895: [DEBUG] 寫入ad帳號
2019-01-28 19:15:05,908: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,272: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,286: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,301: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,324: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,395: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,452: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,499: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,557: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,632: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,709: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,782: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,818: [DEBUG] 寫入ad帳號
2019-01-28 19:15:06,927: [DEBUG] 寫入ad帳號
2019-01-28 19:15:07,016: [DEBUG] 寫入ad帳號
2019-01-28 19:15:07,021: [DEBUG] 寫入ad帳號
